HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
2334;Weidenstraße;Faistenhaar;de:09184:2334;47,9878695;11,7139414
2335;Bürgerhaus;Garching (b München);de:09184:2335;48,2501545;11,6499904
2336;Bürgerplatz;Garching (b München);de:09184:2336;48,2494307;11,6500263
2337;Parkring Ost;Garching (b München);de:09184:2337;48,2514406;11,637396
2338;Parkring Nord;Garching (b München);de:09184:2338;48,2519909;11,6354377
2339;Graf-Zeppelin-Platz;Garching (b München);de:09184:2339;48,2486531;11,6191512
2340;Deisenhofen;Deisenhofen (b München);de:09184:2340;48,0201996;11,5839193
2341;Eichenstraße;Taufkirchen (b München);de:09184:2341;48,0541488;11,6069072
2342;Im Mitterfeld;Bergham (Taufkirchen);de:09184:2342;48,0409069;11,6215587
2343;Hochstraße;Potzham;de:09184:2343;48,0375974;11,6191422
2344;Friedhof;Taufkirchen (b München);de:09184:2344;48,0464983;11,594717
2345;Oberweg;Taufkirchen (b München);de:09184:2345;48,0508161;11,6153783
2346;Peißer Straße 8;Aying;de:09184:2346;47,9696851;11,7767426
2347;Kirschenstraße;Taufkirchen (b München);de:09184:2347;48,048306;11,6042661
2348;Gasthaus zur Post;Peiß;de:09184:2348;47,9614326;11,7776949
2349;Parkring Süd;Garching (b München);de:09184:2349;48,2505972;11,635761
2350;Sauerlach;Sauerlach;de:09184:2350;47,9738228;11,6546346
2351;Am Buchenhain;Solalinden;de:09184:2351;48,0888016;11,7087671
2352;Abzw. Laus;Göggenhofen;de:09184:2352;47,9511272;11,7886453
2353;Kirchgasse;Aying;de:09184:2353;47,9706534;11,7784315
2354;Riemenschneiderstraße;Unterhaching;de:09184:2354;48,0641034;11,6169683
2355;Staatsstraße;Großhelfendorf;de:09184:2355;47,9438105;11,7935771
2356;Bussardstraße;Unterhaching;de:09184:2356;48,0821166;11,6024156
2357;Neukeferloher Weg;Grasbrunn;de:09184:2357;48,0809103;11,7452747
2358;Carl-Duisberg-Straße;Unterhaching;de:09184:2358;48,0803281;11,6010591
2359;Jagdfeldzentrum;Haar (b München);de:09184:2359;48,1075679;11,7219454
2360;Sommerstraße;Unterhaching;de:09184:2360;48,0755507;11,6035205
2361;Otterloher Straße;Sauerlach;de:09184:2361;47,9777197;11,6513558
2362;St.-Alto-Straße;Unterhaching;de:09184:2362;48,071325;11,6066287
2363;Abt-Petto-Straße;Deisenhofen (b München);de:09184:2363;48,0236965;11,5903782
2364;Pittinger Platz;Unterhaching;de:09184:2364;48,0683357;11,6100602
2365;Kirchlandweg;Unterhaching;de:09184:2365;48,0600569;11,632563
2366;Jahnstraße;Unterhaching;de:09184:2366;48,0622783;11,6147494
2367;Schloßstraße;Grünwald (Kr München);de:09184:2367;48,040925;11,5249898
2368;Ottobrunner Straße;Unterhaching;de:09184:2368;48,0604712;11,6195195
2369;Bahnhofstraße;Hohenbrunn (Obb);de:09184:2369;48,0478135;11,6992809
2370;Finsinger Weg;Unterhaching;de:09184:2370;48,0611797;11,6253765
2371;Biberger Straße;Unterhaching;de:09184:2371;48,0679875;11,6183517
2372;Truderinger Straße;Unterhaching;de:09184:2372;48,0640134;11,6250801
2373;Am Sportpark;Unterhaching;de:09184:2373;48,0719193;11,6203549
2374;Goerdelerstraße;Unterhaching;de:09184:2374;48,0654001;11,6223582
2375;Mühlweg;Unterhaching;de:09184:2375;48,0542689;11,626194
2376;Sportplatz;Unterhaching;de:09184:2376;48,0623023;11,6213341
2377;Oberweg;Unterhaching;de:09184:2377;48,0593125;11,6257538
2378;Friedhof;Unterhaching;de:09184:2378;48,0599609;11,6241189
2379;Dorfstraße;Hohenbrunn (Obb);de:09184:2379;48,0455975;11,7023442
2380;Daimlerstraße;Ottobrunn;de:09184:2380;48,0631068;11,6532153
2381;Hachinger Weg;Brunnthal (b München);de:09184:2381;48,0069972;11,6807666
2382;Rathausstraße;Ottobrunn;de:09184:2382;48,0661685;11,6636268
2383;Hubertusstraße;Hohenbrunn (Obb);de:09184:2383;48,0514586;11,7012931
2384;Mozartstraße;Ottobrunn;de:09184:2384;48,0677173;11,6692233
2385;Georginenstraße;Riemerling;de:09184:2385;48,0628967;11,683264
2386;Theodor-Körner-Straße;Ottobrunn;de:09184:2386;48,0640314;11,6855367
2387;Veilchenweg;Bergham (Taufkirchen);de:09184:2387;48,0417057;11,6295717
2388;Altenheim;Riemerling;de:09184:2388;48,0644576;11,7006014
2389;Lilienthalstraße;Taufkirchen (b München);de:09184:2389;48,0513986;11,6550119
2390;Eschenstraße;Taufkirchen (b München);de:09184:2390;48,0517349;11,6054609
2391;Riegerweg;Bergham (Taufkirchen);de:09184:2391;48,0476994;11,6244692
2392;Akazienstraße;Taufkirchen (b München);de:09184:2392;48,0526056;11,599002
2393;Auenstraße;Brunnthal (b München);de:09184:2393;48,005146;11,6869111
2394;Lärchenweg/Volkshochschule;Taufkirchen (b München);de:09184:2394;48,0477835;11,5988762
2395;Keltenring;Taufkirchen (b München);de:09184:2395;48,0462882;11,611812
2396;Realschule;Taufkirchen (b München);de:09184:2396;48,0462461;11,6072216
2397;Hinterm Hofanger;Winning;de:09184:2397;48,0515967;11,6259425
